#    X	    Y	        Z	    Amplitude
1773.000	-1293.000	3152.000	118
1773.000	-1293.000	3152.000	118
1764.000	-1294.000	3156.000	118
1766.000	-1303.000	3178.000	116
1759.000	-1305.000	3183.000	127
1751.000	-1307.000	3187.000	127
1735.000	-1303.000	3178.000	119
1714.000	-1295.000	3158.000	130
1697.000	-1290.000	3146.000	136
1689.000	-1291.000	3149.000	136
1679.000	-1292.000	3151.000	125
1664.000	-1288.000	3141.000	132
1656.000	-1290.000	3145.000	132
1645.000	-1289.000	3143.000	120
1632.000	-1286.000	3137.000	126
1621.000	-1286.000	3136.000	117
1612.000	-1287.000	3140.000	117
1605.000	-1290.000	3146.000	121
1596.000	-1290.000	3147.000	111
1590.000	-1294.000	3156.000	122
1582.000	-1296.000	3160.000	122
1577.000	-1300.000	3171.000	110
1573.000	-1306.000	3184.000	118
1565.000	-1307.000	3188.000	118
1560.000	-1312.000	3199.000	93
1550.000	-1313.000	3201.000	123
1534.000	-1307.000	3188.000	141
1526.000	-1309.000	3193.000	123
1517.000	-1311.000	3196.000	123
1514.000	-1317.000	3212.000	129
1510.000	-1323.000	3226.000	129
1498.000	-1321.000	3221.000	124
1489.000	-1322.000	3225.000	124
1471.000	-1316.000	3209.000	134
1460.000	-1315.000	3207.000	136
1456.000	-1321.000	3222.000	125
1447.000	-1323.000	3225.000	125
1441.000	-1326.000	3235.000	118
1430.000	-1326.000	3234.000	123
1420.000	-1326.000	3235.000	123
1413.000	-1330.000	3242.000	127
1404.000	-1331.000	3246.000	127
1393.000	-1331.000	3245.000	118
1377.000	-1325.000	3232.000	134
1363.000	-1322.000	3224.000	135
1358.000	-1328.000	3238.000	132
1349.000	-1329.000	3242.000	132
1336.000	-1326.000	3235.000	120
1321.000	-1322.000	3224.000	119
1309.000	-1320.000	3220.000	129
1301.000	-1323.000	3226.000	109
1289.000	-1322.000	3223.000	102
1280.000	-1323.000	3226.000	102
1263.000	-1316.000	3209.000	111
1251.000	-1315.000	3206.000	113
1248.000	-1322.000	3224.000	114
1242.000	-1327.000	3236.000	116
1233.000	-1328.000	3239.000	116
1219.000	-1325.000	3231.000	115
1202.000	-1318.000	3214.000	122
1184.000	-1309.000	3193.000	128
1167.000	-1302.000	3176.000	131
1161.000	-1306.000	3186.000	183
1172.000	-1331.000	3245.000	188
1162.000	-1332.000	3248.000	188
1171.000	-1354.000	3303.000	102
1149.000	-1341.000	3271.000	55
1108.000	-1306.000	3184.000	55
1090.000	-1296.000	3160.000	95
1072.000	-1287.000	3138.000	122
1062.000	-1288.000	3140.000	122
1049.000	-1284.000	3131.000	140
1037.000	-1281.000	3124.000	134
1029.000	-1284.000	3132.000	136
1023.000	-1290.000	3146.000	136
1015.000	-1292.000	3151.000	122
1003.000	-1290.000	3145.000	135
 992.000	-1289.000	3144.000	178
 983.000	-1290.000	3147.000	178
 977.000	-1296.000	3160.000	158
 974.000	-1305.000	3183.000	139
 969.000	-1313.000	3202.000	112
 960.000	-1315.000	3208.000	136
 954.000	-1321.000	3220.000	139
 944.000	-1322.000	3225.000	128
 937.000	-1326.000	3233.000	117
 927.000	-1327.000	3236.000	117
 921.000	-1333.000	3252.000	121
 916.000	-1342.000	3273.000	109
 909.000	-1348.000	3287.000	125
 900.000	-1350.000	3291.000	110
 889.000	-1350.000	3292.000	132
 878.000	-1349.000	3289.000	110
 867.000	-1349.000	3289.000	123
 859.000	-1353.000	3299.000	116
 849.000	-1354.000	3302.000	116
 844.000	-1362.000	3322.000	111
 838.000	-1370.000	3341.000	110
 827.000	-1371.000	3344.000	116
 812.000	-1363.000	3325.000	117
 794.000	-1351.000	3295.000	127
 780.000	-1345.000	3279.000	137
 771.000	-1349.000	3289.000	94
 764.000	-1355.000	3304.000	38
 754.000	-1356.000	3306.000	38
 736.000	-1343.000	3275.000	43
 722.000	-1336.000	3259.000	57
 713.000	-1339.000	3265.000	78
 704.000	-1342.000	3273.000	85
 692.000	-1341.000	3270.000	77
 681.000	-1340.000	3267.000	62
 676.000	-1350.000	3292.000	48
 675.000	-1370.000	3341.000	44
 669.000	-1380.000	3366.000	52
 653.000	-1370.000	3340.000	91
 643.000	-1370.000	3342.000	91
 625.000	-1356.000	3306.000	144
 612.000	-1351.000	3294.000	124
 602.000	-1352.000	3297.000	115
